iter	Passed	Remaining
218	602	773
219	603	768
220	605	764
221	607	760
222	609	756
223	610	752
224	612	748
225	614	744
226	616	740
227	618	737
228	619	732
229	620	728
230	622	724
231	627	724
232	628	720
233	630	716
234	633	714
235	635	710
236	637	707
237	639	703
238	641	701
239	644	698
240	647	696
241	650	693
242	652	689
243	654	687
244	656	683
245	658	679
246	659	675
247	661	671
248	662	668
249	664	664
250	666	661
251	668	657
252	671	655
253	673	652
254	676	650
255	677	645
256	679	642
257	681	639
258	682	635
259	684	631
260	686	628
261	688	625
262	690	621
263	691	618
264	693	614
265	694	610
266	696	607
267	698	604
268	700	601
269	701	597
270	703	594
271	705	591
272	707	587
273	708	584
274	710	581
275	712	578
276	714	575
277	715	571
278	716	567
279	718	564
280	721	562
281	723	559
282	724	555
283	726	552
284	729	549
285	730	546
286	733	544
287	735	541
288	737	538
289	739	535
290	741	532
291	743	529
292	745	526
293	747	524
294	748	520
295	750	517
296	752	514
297	754	511
298	756	508
299	758	505
300	760	502
301	762	500
302	764	497
303	767	494
304	768	491
305	771	306	306	772	307	307	774	308	308	776	309	806	494
310	808	491
311	810	488
312	812	485
313	812	481
314	814	478
315	817	475
316	820	473
317	824	471
318	826	469
319	829	466
320	831	463
321	834	461
322	838	459
323	840	456
324	843	454
325	845	451
326	848	448
327	327	823	328	328	826	329	329	829	330	330	831	424
331	833	421
332	835	418
333	836	415
334	838	413
335	840	336	336	842	337	337	844	338	338	845	339	875	411
340	877	409
341	879	406
342	881	403
343	882	400
344	344	856	345	887	395
346	889	392
347	891	389
348	893	386
349	895	383
350	897	380
351	899	378
352	902	375
353	904	372
354	905	369
355	907	366
356	908	364
357	910	361
358	912	358
359	914	355
360	916	353
361	918	350
362	920	347
363	922	344
364	924	341
365	926	339
366	927	336
367	930	333
368	931	330
369	934	328
370	937	325
371	938	323
372	940	320
373	942	317
374	943	314
375	945	311
376	947	309
377	949	306
378	951	303
379	953	300
380	956	298
381	958	295
382	959	293
383	961	290
384	962	287
385	966	285
386	967	282
387	969	279
388	971	277
389	973	274
390	975	271
391	976	269
392	979	266
393	981	263
394	983	261
395	985	258
396	986	255
397	987	253
398	988	250
399	990	247
400	992	244
401	993	242
402	995	239
403	996	236
404	998	234
405	1000	231
406	1001	228
407	1003	226
408	1004	223
409	1006	220
410	1007	218
411	1009	215
412	1011	213
413	1014	210
414	1015	208
415	1017	205
416	1018	202
417	1020	200
418	1022	197
419	1023	195
420	1024	192
421	1026	189
422	1028	187
423	1030	184
424	1031	182
425	1032	179
426	1034	176
427	1035	174
428	1037	171
429	1037	168
430	1039	166
431	1041	163
432	1043	161
433	1044	158
434	1046	156
435	1047	153
436	1049	151
437	1051	148
438	1052	146
439	1054	143
440	1055	141
441	1057	138
442	1058	136
443	1060	133
444	1062	131
445	1063	128
446	1065	126
447	1066	123
448	1067	121
449	1069	118
450	1070	116
451	1072	113
452	1073	111
453	1075	109
454	1077	106
455	1079	104
456	1081	101
457	1082	99
458	1084	96
459	1085	94
460	1087	91
461	1088	89
462	1090	87
463	1091	84
464	1093	82
465	1094	79
466	1096	77
467	1097	75
468	1099	72
469	1101	70
470	1102	67
471	1104	65
472	1106	63
473	1108	60
474	1109	58
475	1110	55
476	1111	53
477	1112	51
478	1114	48
479	1115	46
480	1116	44
481	1118	41
482	1120	39
483	1122	37
484	1123	34
485	1125	32
486	1126	30
487	1127	27
488	1129	25
489	1130	23
490	1132	20
491	1133	18
